Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Governing Law,Governing Law-Answer,Termination For Convenience,Termination For Convenience-Answer,Exclusivity,Exclusivity-Answer,Revenue/Profit Sharing,Revenue/Profit Sharing-Answer,Post-Termination Services,Exact_Law,Discrepancy
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,['GAS FRANCHISE AGREEMENT'],GAS FRANCHISE AGREEMENT,"['TOWN OF VINTON, VIRGINIA', 'ROANOKE GAS COMPANY', 'Grantor', 'Grantee']","TOWN OF VINTON, VIRGINIA (""Grantor""); ROANOKE GAS COMPANY (""Grantee"")","['The effective date of the Franchise will be January 1, 2016.']",1/1/16,"['The term of the Franchise shall be twenty (20) years, commencing on January 1, 2016.']",1/1/36,[],,[],,[],No,[],No,"[""Grantor's Franchise Fee shall be a percentage share of the base year total annual Franchise Fee, which shall be determined on a pro rata basis according to its percentage share of the total dollar value of Grantee's gas sales occurring within the localities during the calendar year."", ""For each calendar year of the Franchise, each locality's percentage share shall be determined by the following formula:\n\ntotal dollar value of Grantee's gas sales within Locality's percentage share = the Territorial Limits of the locality total dollar value of Grantee's gas sales in the three localities""]",Yes,[],"This franchise agreement is likely governed by municipal or local laws specific to franchises or utility agreements, as it involves the Town of Vinton, Virginia, and the Roanoke Gas Company.","The governing law and any provisions related to renewal terms, termination for convenience, exclusivity, and post-termination services are not specified in the provided details."
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,['MASTER FRANCHISE AGREEMENT'],MASTER FRANCHISE AGREEMENT,"['Franchisor', 'Smaaash Entertainment Private Limited', 'I-AM Capital Acquisition Company', 'Franchisee']","Smaaash Entertainment Private Limited (""Franchisor""); I-AM Capital Acquisition Company (""Franchise"")","['20t h day of November, 2018']",11/20/18,"['The term of this Agreement shall commence as of the Effective Date and shall continue until terminated as hereinafter provided (the ""Term"").']",perpetual,[],,"['The parties hereto have expressly agreed that this Agreement shall be governed by, and construed in accordance with, the laws of the State of New York, applicable to contracts executed and fully to be performed therein, to the exclusion of any other applicable body of governing law.']",New York,[],No,"['Except as provided in the next sentence, the license granted herein shall be exclusive.', '""Exclusivity"" shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement; provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of Franchisor\'s entertainment centers already set up as of the Effective Date in the Territory. The restriction contained in this Agreement shall apply on the parties throughout the Term.', 'Subject to Section 1.2, Franchisor hereby grants to Franchisee the exclusive right, (a) to establish and operate Smaaash Centres in the Territory, (b) to sub-license the right to establish and operate Smaaash Centres to third party franchisees in and for the Territory, (c) a license to use the products and other services developed by Franchisor with respect to the Smaaash Centres (including a right to authorise the use of products and services developed by the Franchisor by third party franchisees), in the Territory, and (d) to identify third party franchisees for the Smaaash Centres in the Territory.']",Yes,"['If third party franchisees are operating the Smaaash Centres, then the Franchisee shall be entitled to receive, (i) 5% (five percent) of the capital expenditure as agreed among the parties for the particular Smaaash Centre as sign -on fees or upfront advance, and (ii) 5% (five percent) fee or commission of the revenue generated by such third party franchisees from the Smaash Centres on an annual basis.']",Yes,[],New York Law,The Renewal Term and Termination for Convenience clauses are not specified in the provided details.
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"['Website Design, Development and Hosting Agreement']","Website Design, Development and Hosting Agreement","[""Mitchell's Web Advance, PLC"", 'Client', 'FreeCook', 'Company']","FreeCook (""Client""); Mitchell's Web Advance, PLC (""Company"")",[],,"['Terms of the project: 12 weeks from February 8, 2018 to May 3, 2018']",5/3/18,[],,[],,['Company at its sole discretion may at any time alter or cease providing the Customer Service which it has agreed to provide to Client relating to Client Website pursuant to this Agreement without any liability to Company.'],Yes,[],No,[],No,[],Contract Act,"The contract details do not specify the governing law applicable to the Website Design, Development, and Hosting Agreement. It is recommended to explicitly mention the governing law in the contract to avoid any potential conflicts or uncertainties in the future."
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT,"['each individually referred to as ""Party"" and together as ""Parties"".', 'Elephant Talk Communication Holding AG', 'T-Mobile', 'T-Mobile Netherlands B.V.', 'ELEPHANT TALK']","Elephant Talk Communication Holding AG (""ELEPHANT TALK""); T-Mobile Netherlands B.V. (""T-Mobile"")(""Party"" and together as ""Parties"")","['This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.']",9/18/08,"['This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.']",,"['At the end of *** Parties will negotiate in good faith regarding a possible extension of the Initial Term.', 'Parties can mutually agree in writing to deviate from an automatic extension of *** by extending this Agreement for a longer period than ***.', 'If no termination notice is provided, the Agreement will be automatically extended for consecutive *** periods until such time as *** termination notice is provided.']",,['This Agreement shall be governed by and construed in all respects exclusively in accordance with the laws of the Netherlands.'],Netherlands,['The Agreement may be terminated by both Parties with a notification period of *** before the end of the Initial Term of the Agreement.'],Yes,[],No,[],No,[],Civil Law,The Expiration Date and Renewal Term details are not specified in the provided information.
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,['SERVICES AND HOSTING AGREEMENT'],SERVICES AND HOSTING AGREEMENT,"['VITALIBIS INC', '-Licensee""', 'VOTOCAST, Inc.', '""VOTOCAST']","VITALIBIS INC (""Licensee""); VOTOCAST, Inc. (""VOTOCAST"")",['The Effective Date of this Agreement shall be the later of the dates shown by the signatures below.'],3/14/18,"['This Agreement shall commence as of the Effective Date and shall continue in effect for one (I) year, unless earlier terminated as expressly provided in Sections 1.3. 10.1. or 10.2 of this Agreement (the *Initial Term"")']",3/14/19,"['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']",Successive 1 year,['This Agreement shall be governed by the laws of the State of California without giving effect to conflict or choice of law principles.'],California,"['Regardless of the term, Licensee can terminate Agreement with at least one hundred eighty (180) days written notice with no further obligation.']",Yes,[],No,[],No,[],Contract Act,None
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,['e-business Hosting Agreement'],e-business Hosting Agreement,"['IBM', 'The Quantum Group Inc.', 'Customer', 'International Business Machines Corporation']","International Business Machines Corporation (""IBM”); The Quantum Group Inc. (""Customer"")","['This Agreement will be effective beginning on 12:01 a.m., Eastern Time, on the day after the date of last signature to these Base Terms (""Effective Date"").']",12/3/08,"['This Agreement will remain in effect for Thirty-six (36)<omitted>months following the Hosting Service Ready Date (""Term""), unless terminated earlier in accordance with the terms herein.']",12/3/11,[],,"['This Agreement will be governed by the substantive laws of the State of New York, without regard for its conflict of laws provisions.']",New York,"['Customer may terminate this Agreement, or any portion of Services specified herein, for convenience by: providing at least sixty (60) days prior written notice to IBM; and paying the applicable early termination charges specified in Attachment C.']",Yes,[],No,[],No,[],,None
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"['INTELLECTUAL PROPERTY AGREEMENT, d']","INTELLECTUAL PROPERTY AGREEMENT, d","['CERENCE INC.', 'SpinCo', 'Nuance', 'NUANCE COMMUNICATIONS, INC.']","NUANCE COMMUNICATIONS, INC (""Nuance""); CERENCE INC. (""SpinCo"")","['This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.']",,[],,[],,"['Any disputes relating to, arising out of or resulting from this Agreement, including to its execution, performance, or enforcement, shall be governed by, and construed in accordance with, the Laws of the State of Delaware, regardless of the Laws that might otherwise govern under applicable principles of conflicts of Laws thereof.']",Delaware,"['This Agreement may be terminated by Nuance at any time, in its sole discretion, prior to the Distribution; provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.']",Yes,[],No,[],No,[],Delaware,"The Effective Date, Expiration Date, Renewal Term, Exclusivity, Revenue/Profit Sharing, and Post-Termination Services details are not provided in the contract analysis."
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"['INTELLECTUAL PROPERTY AGREEMENT, d']","INTELLECTUAL PROPERTY AGREEMENT, d","['HONEYWELL INTERNATIONAL INC.', 'GARRETT MOTION INC.', 'SpinCo', 'Honeywell']","HONEYWELL INTERNATIONAL INC. (""Honeywell""); GARRETT MOTION INC. (""SpinCo"")","['This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.']",9/27/18,[],,[],,"['Any disputes arising out of or relating to this Agreement, including to its execution, performance or enforcement, shall be governed by, and construed in accordance with, the Laws of the State of New York, regardless of the Laws that might otherwise govern under applicable principles of conflicts of Laws thereof.']",New York,"['This Agreement may be terminated by Honeywell at any time, in its sole discretion, prior to the Distribution; provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.']",Yes,[],No,[],No,[],New York Law,None
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],INTELLECTUAL PROPERTY RIGHTS AGREEMENT,"['Investor', 'Company', 'Synchron', 'Rare Element Resources Ltd.']","Synchron (""Investor""); Rare Element Resources Ltd. (""Company"")","['""Effective Date"" has the meaning of the ""Closing Date"" set forth in the Investment Agreement.']",,"['Unless earlier terminated in accordance with the terms of this Article XVI, this IP Agreement and the licenses granted herein will continue in effect from the Effective Date until the expiration of the last to expire of the Patents and any additional period of time thereafter that any of the Patents remain enforceable such as in the United States where a party can sue for infringement after a patent expires and seek damages for any infringement of the patent during the six years immediately preceding the filing of a suit for infringement.']",,[],,['This IP Agreement will be construed in accordance with the substantive laws of the state of New York and of the United States of America.'],New York,[],No,"['If the Option is exercised before the expiration of the Option Period, the license grants set forth in Articles 3.00 and 3.01 will become exclusive to Investor for a perpetual term, shall not be subject to a licensing fee, the granted licenses in favor of the Investor shall be deemed fully paid-up, and the rights granted to Investor under Articles 3.00 and 3.01 shall include the right to grant sublicenses to Third Parties.', 'Prior to the earlier of Investor exercising the Option and the expiration of the Option Period, Company will not grant to any Third Party any rights to the Patents or to the Technical Information that extend beyond the expiration of the Option Period.']",Yes,[],No,[],New York State Law,"Not applicable, as the governing law specified in the contract is in accordance with the substantive laws of the state of New York."
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,['SPONSORED RESEARCH AND LICENSE AGREEMENT'],SPONSORED RESEARCH AND LICENSE AGREEMENT,"['University', 'ArTara', 'ArTara, Inc.', 'The University of Iowa']","Artara Therapeutics, Inc. (""ArTara"",""ArTara, Inc.""); The University of Iowa (""University"")","['November 28, 2018']",11/28/18,[],,[],,['This Agreement shall be governed by the laws of the State of Iowa.'],Iowa,"['Either Party may terminate the Project and all commitments and obligations with respect thereto, subject to Section 8.3 herein, upon thirty (30) days written notice to the other Party.', 'This Agreement may be terminated by ArTara upon thirty (30) days prior written notice to University.']",Yes,"['University hereby grants to ArTara an exclusive Right of Reference to all Program Regulatory Filings by University in support of the Product.', 'University hereby grants to ArTara an exclusive license to use the Program Data solely for the Project and in Regulatory Filings in the Field in the Territory.']",Yes,"['Royalties will be payable by ArTara on Net Sales of Product in the Indication. ArTara will, no later than […***…] following the close of each calendar quarter, pay tiered Royalties based on annual Net Sales of Product in the Indication as set forth below:\n\nAnnual Net Sales of Product for the Indication Annual Royalty Rate Percent Net Sales\n\n$0 - $25,000,000 1.75%\n\n>$25,000,000 - $50,000,000 2.25%\n\n>$50,000,000 2.50%']",Yes,"['Upon termination of the Project by ArTara this Agreement will terminate subject to Section 8.3 and ArTara will reassign to University the IND if assignment thereof previously occurred pursuant to Section 4.3.', 'In the event of any termination of the Project by University, (a) University agrees to complete Phase I and II of the Project, and (b) ArTara will continue to provide annual funding until the completion of Phase II.']",Contract Act,"The contract details do not include an Expiration Date or Renewal Term, which could impact the clarity and duration of the agreement."
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,['MEDIA LICENSE AGREEMENT'],MEDIA LICENSE AGREEMENT,"['PFHOF', 'HOFV', 'Village Media Company', 'NATIONAL FOOTBALL MUSEUM, INC.', 'doing business as Pro Football Hall of Fame', 'HOF Village, LLC', 'HOF Village Media Group, LLC']","NATIONAL FOOTBALL MUSEUM, INC. d/b/a Pro Football Hall of Fame (""PFHOF""); HOF Village, LLC (""Village Media Company""); HOF Village, LLC (""HOFV"")",['the date of the Closing'],,"['Unless otherwise terminated as provided herein, the term of this Agreement shall commence on the Effective Date and shall terminate on December 31, 2034 (such period, including as may be extended in accordance with the subsequent sentence, the ""Term"").']",12/31/34,"['If either party elects not to renew the Agreement and the other party wishes to continue the Agreement, the Parties shall attempt in good faith to negotiate an amendment to the Agreement to renew the Term on such terms as may be negotiated by the Parties.', 'Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term.']",successive 5 years,"['This Agreement will be governed in all respects by the laws of the State of Ohio (without regard to conflicts of law provisions), as such laws are applied to agreements entered into and to be performed entirely within the State of Ohio between Ohio residents.']",Ohio,[],No,"['All communication with the National Football League (the ""NFL""), its 32 Member Clubs, NFL Legends and Gold Jackets shall be made exclusively and directly through PFHOF.', 'For the avoidance of doubt, PFHOF has the exclusive and sole relationship with the NFL, its 32 Member Clubs, NFL Legends and Gold Jackets for any and all PFHOF and HOFV activities; provided, however, that any communication relating to any investment by the NFL in any Village Media Company project, may be made directly through the President of PFHOF or the Chief Executive Officer of HOFV; and, provided further, that the Village Media Company shall have the right to present opportunities related to any of the above for approval by PFHOF.']",Yes,[],No,"['For the avoidance of doubt, after the termination or expiration of this Agreement, the Village Media Company and its permitted licensees shall continue to have the right to fully exploit, use, and Exploit the HOFV Works for the length of the term of the license granted by PFHOF in connection with such HOFV Work pursuant to Section 2.3; provided that the length of the term of such license shall be a minimum of five (5) years.', ""The Village Media Company shall be permitted to retain copies of PFHOF's Confidential Information as necessary to allow the Village Media Company to exercise its post-termination rights with respect to such information.""]",Contract Act,"The Effective Date is noted as ""the date of the Closing"" but a specific date is not provided in the details."
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,['COMMERCIALIZATION AND LICENSE AGREEMENT'],COMMERCIALIZATION AND LICENSE AGREEMENT,"['Vyera', 'CytoDyn Inc.', 'Vyera Pharmaceuticals, LLC', 'CytoDyn', 'CytoDyn and Vyera are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""']","Vyera Pharmaceuticals, LLC ('Vyera""); CytoDyn Inc. (""CytoDyn""); CytoDyn and Vyera (“Party” and collectively as the “Parties.”)","['December 17, 2019']",12/17/19,"['The term of this Agreement (""Term"") shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article 11, shall expire on the last day of the Royalty Term.']",,[],,"['This Agreement and all disputes arising out of or related to this Agreement or any breach hereof shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to any choice of law principles that would result in the application of the laws of any other jurisdiction.']",New York,"[""Vyera shall have the right to terminate this Agreement in its entirety:<omitted>(c) at any time following the second (2nd) anniversary of the First Commercial Sale of the Licensed Product, for any reason or no reason, upon one hundred eighty (180) days' written notice to CytoDyn.""]",Yes,"['In the event that such assignment would be unlawful, Vyera shall, and hereby does, grant to CytoDyn an exclusive, irrevocable, worldwide, sublicensable (including through multiple tiers), transferrable (without consent) royalty free license to any and all right, title and/or interest that it may have in or to an Invention.', ""Without limiting the foregoing, Vyera shall have the exclusive right and responsibility throughout the Territory for the following: (a) receiving and accepting orders for the Licensed Product from customers; (b) distributing the Licensed Product to customers; (c) controlling invoicing and collection of accounts receivable for Licensed Product sales; (d) recording Licensed Product sales in its books of account for sales (in accordance with Vyera's accounting standards consistently applied (currently GAAP)); (e) subject to Section 5.5, determining pricing for the Licensed Product and all aspects of the promotion (including promotional materials) to be used in Commercializing Licensed Products; (f) negotiating with Third Parties, including without limitation, payors, pharmacy benefit managers and distributors, with respect to sales and distribution of Licensed Product; and (g) paying all rebates, chargebacks and other amounts due to customers in respect of Licensed Products (it being understood that all such amounts shall be deducted in calculating Net Sales)."", 'Vyera shall purchase all of its requirements for supply of Licensed Product exclusively from CytoDyn in accordance with the terms and conditions of the Supply Agreement.', 'CytoDyn hereby grants to Vyera, and Vyera hereby accepts, an exclusive royalty-bearing license (or sublicense, as the case may be), under the CytoDyn Patents, the CytoDyn Know-How and the Inventions (if any) solely to Commercialize, use, have used, offer for sale and sell Licensed Products in the Field in the Territory.']",Yes,"['Vyera shall pay to CytoDyn royalties equal to fifty percent (50%) of Net Sales of Licensed Products in the Territory during the Royalty Term; provided that, after the Step-Down Date, the royalty percentage will be reduced to [***] of Net Sales of Licensed Products in the Territory throughout the remaining period in the Royalty Term.']",Yes,"['In the event of a termination by Vyera under Section 11.2, the following terms shall apply: (i) at CytoDyn\'s request, the Parties will negotiate in good faith a transition services agreement (the ""Transition Services Agreement""), under which Vyera will provide certain Commercialization services to CytoDyn in connection with CytoDyn efforts to Commercialize the Licensed Product in the Field in the Territory; (ii) the services to be provided by Vyera pursuant to the Transition Services Agreement (the ""Transition Services"") will be negotiated in good faith taking into account (A) the activities undertaken by Vyera in connection with the Commercialization of Licensed Product during the Term and (B) Vyera\'s then-existing resources and capabilities (it being understood and agreed that Vyera shall not (x) be required to hire any new employees or enter into any new agreements with Third Parties in order to provide the Transition Services or (y) terminate any employee or agreement the primary purpose of which is to circumvent its obligations to provide the Transition Services); (iii) the Transition Services Agreement will require Vyera to provide Transition Services for a period of up to six (6) months from the effective date of termination; provided that CytoDyn will have the ability to terminate Transition Services on a service-by-service basis as they are transitioned; and (iv) Transition Services will be reimbursed at Vyera\'s actual cost plus ten percent (10%) by CytoDyn. (v) At CytoDyn\'s reasonable request and subject to the terms of the applicable agreement, Vyera will use its reasonable best efforts to assign to CytoDyn any Third Party agreements that relate to the Transition Services matters solely for Licensed Product in the Territory in the Field.']","'Contract Act', 'Commercial Code'",The Expiration Date and Renewal Term details are not provided in the contract.
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,"['Virtuoso Surgical, Inc.', 'The Johns Hopkins University', 'Company', 'JHU']","The John Hopkins University (""JHU""); Virtuoso Surgical, Inc. (""Company"")","['""EFFECTIVE DATE"" of this Agreement shall mean the date the last party hereto has executed this Agreement.<omitted>5/11/2016']",5/11/16,"['This term of this Agreement shall commence on the EFFECTIVE DATE and shall continue, in each country, until the date of expiration of the last to expire patent within PATENT RIGHT(S) in that country.']",,[],,"['This Agreement shall be construed, and legal relations between the parties hereto shall be determined, in accordance with the laws of the State of Maryland applicable to contracts solely executed and wholly to be performed within the State of Maryland without giving effect to the principles of conflicts of laws.']",Maryland,"['Company may terminate this Agreement and the license granted herein, for any reason, upon giving JHU sixty (60) days written notice under Paragraph 8.1.']",Yes,[],No,"['If COMPANY is required to pay running royalties on any patent rights not licensed hereunder (""Other Royalties"") in order to make, use or sell a particular LICENSED PRODUCT or LICENSED SERVICE, COMPANY shall be entitled to credit half (50%) of such Other Royalties against the Earned Royalty due, but the Earned Royalties shall not be reduced below fifty percent (50%) of those that would otherwise be due JHU for that LICENSED PRODUCT or LICENSED SERVICE.', 'Company shall pay to JHU, a running royalty as set forth in Exhibit A, for each LICENSED PRODUCT(S) sold and each LICENSED SERVICE(S) provided, based upon NET SALES and NET SERVICE REVENUES respectively, for the term of this Agreement.', 'COMPANY shall pay an annual EARNED ROYALTY as follows: 2.1.1 Four percent (4%) of the sum of NET REVENUES.', 'In addition, COMPANY shall issue to JHU that number of shares of common stock representing five percent (5%) of the outstanding common and preferred shares on a fully diluted basis of COMPANY pursuant to an agreed upon stock purchase agreement between COMPANY and JHU.', ""As consideration for JHU's grant of a License to Company under this Agreement, Company shall pay to JHU a license fee, cash and equity, as set forth in Exhibit A within thirty (30) days of the EFFECTIVE DATE."", 'Company shall pay to JHU minimum annual royalties as set forth in Exhibit A.', 'The stock purchase agreement shall contain provisions protecting JHU against dilution of its equity interest in the event the post-money valuation of any equity investment is less than two million dollars ($2,000,000), and it will also contain a provision for the piggy-back registration of common shares with any other class of stock in an initial public offering. If COMPANY proposes to sell any equity securities or securities that are convertible into equity securities of COMPANY (collectively, ""Equity Securities"") in any new round of financing, then COMPANY shall offer JHU and/or its Assignee (as defined below) an opportunity to purchase either: (i) up to that portion of the Equity Securities that equals JHU\'s then current, fully-diluted percentage ownership interest in COMPANY, or (ii) if the percentage offered for sale by COMPANY is less, then up to five percent (5%) of the Equity Securities offered for sale. Such offer to purchase shall be on the same terms and conditions as are offered with respect to such Equity Securities sold in such financing. For purposes of this section 7 of Exhibit A, the term ""Assignee"" means: (a) any entity to which JHU\'s preemptive rights have been assigned either by JHU or by another entity, or (b) any entity that is controlled by JHU.']",Yes,[],Maryland State Law,"The Expiration Date and Renewal Term sections are not explicitly defined in the details provided, which could potentially lead to ambiguity in understanding the duration of the agreement."
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,['Network Build and Maintenance Agreement'],Network Build and Maintenance Agreement ,"['AT&T Mobility LLC', 'Commnet Wireless, LLC', 'each of which may be referred to in the singular as a ""Party"" or in the plural as the ""Parties.""', 'Vendor', 'AT&T']","Commnet Wireless, LLC (""Vendor""); AT&T Mobility LLC (""AT&T"") (""Party"" or in the plural as the ""Parties."")","['31  day of July, 2019']",7/31/19,"['The ""Term"" of this Agreement shall commence on the Effective Date and shall continue in full force and effect until the expiration or earlier termination of the last Addendum to expire or be terminated, at which time this Agreement will expire, unless this Agreement is sooner terminated in accordance with the terms and provisions of this Agreement.']",,[],,"[""The laws of the State of New York (excluding any laws that direct the application of another jurisdiction's law) govern all matters arising out of or relating to this Agreement and all of the transactions it contemplates, including its validity, interpretation, construction, performance, and enforcement.""]",New York,[],No,[],No,[],No,"[""Upon expiration or termination of this Agreement, but prior to the effectiveness of full termination of the Agreement, AT&T may exercise any rights and remedies available to AT&T under this Agreement, at law or in equity, including AT&T's right to exercise any one or more of the Termination Remedies set forth in the Build Addendum, and Vendor shall, upon the request and at the expense (other than termination in accordance with Subsection (c) hereof) of AT&T:<omitted>(ii) provide reasonable assistance as may be necessary for the orderly, non-disrupted continuation of the Services, (iii) transfer all of the contracts related to the Cell Sites to AT&T<omitted>as contemplated in the Build Addendum and (iv) reimburse AT&T for any AT&T Provided Equipment or other assets that are not installed at a Cell Site and cannot be returned in good working order (based on the acquisition costs plus taxes and shipping costs)."", 'Vendor will maintain and retain the records set forth in Subsection (a) during the term of the Agreement and for three (3) years thereafter (unless a discovery or legal hold request is made with respect to such records, in which case Vendor shall retain such records until AT&T notifies Vendor that such discovery or legal hold request has expired)', ""Vendor shall, at AT&T's option, return to AT&T, or hold for AT&T's disposition, any or all of such material provided by AT&T under this Agreement upon termination of this Agreement or the withdrawal of the material furnished; provided however, that with respect to any scrap produced as a by-product remaining in Vendor's possession at the completion of all Work to be provided at a Cell Site, Vendor shall, at AT&T's option, return to AT&T, or hold for AT&T's disposition, such scrap material for a period of one hundred twenty (120) days following the earlier of Location""]",New York Commercial Code,The Expiration Date and Renewal Term details are not specifically provided in the contract.
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,['MASTER OPERATION AND MAINTENANCE AGREEMENT'],MASTER OPERATION AND MAINTENANCE AGREEMENT,"['Owner', 'DIAMOND STATE GENERATION PARTNERS, LLC', 'BE', 'BLOOM ENERGY CORPORATION', 'Operator']","BLOOM ENERGY CORPORATION (“BE” or, in its capacity as operator hereunder, “Operator”); DIAMOND STATE GENERATION PARTNERS, LLC (""Owner"")","['The term of this Agreement (the ""Term"") (a) shall commence on the first day of the Warranty Period for the first Bloom System to achieve Commencement of Operation and (b) shall, unless terminated earlier under Section 4.1 of this Agreement or unless extended by mutual agreement of the Parties, terminate on the date that is the last day of the Warranty Period for the last Bloom System to achieve Commencement of Operation.']",,"['The term of this Agreement (the ""Term"") (a) shall commence on the first day of the Warranty Period for the first Bloom System to achieve Commencement of Operation and (b) shall, unless terminated earlier under Section 4.1 of this Agreement or unless extended by mutual agreement of the Parties, terminate on the date that is the last day of the Warranty Period for the last Bloom System to achieve Commencement of Operation.']",,[],,['THIS AGREEMENT SHALL BE GOVERNED BY AND INTERPRETED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK WITHOUT REGARD TO CONFLICTS OF LAW PRINCIPLES (OTHER THAN SECTION 5-1401 OF THE NEW YORK GENERAL OBLIGATIONS LAW).'],New York,[],No,[],No,[],No,"['Notwithstanding anything to the contrary in this Agreement and in furtherance of continuing qualification under the QFCP-RC Tariff, in the event of the early termination of this Agreement pursuant to Article 4 hereof, BE and Operator agree to use commercially reasonable efforts to cooperate with Owner to facilitate Owner<omitted>entering into a new agreement with a third party operator governing operation and maintenance services to be provided to Owner on terms substantially similar to the terms of this Agreement, so that such replacement Operator shall be deemed a QFCP.', ""Throughout the Term, and thereafter to the extent relevant to calculations necessary for periods prior to the end of the Term and subject to any confidentiality obligation owed to any third party and/or any restrictions on the disclosure of information which may be subject to intellectual property rights restricting disclosure:\n\n(a) Owner shall grant Operator access to all data relating to the electricity production of each Bloom System, it being understood that it is Operator's responsibility to determine the performance of the Bloom System, and any other calculations as required under this Agreement, and that it is Owner's responsibility to handle all accounting and invoicing activities; and\n\n(b) Owner shall allow Operator access to all data from all Facility Meters.""]",'Contract Act',The Effective Date and Expiration Date of the agreement are not clearly specified in the provided details.
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.pdf,['SOFTWARE MAINTENANCE AGREEMENT'],SOFTWARE MAINTENANCE AGREEMENT,"['LEADER', 'EZJR', 'Leader Act Ltd', 'EZJR, Inc.']","Leader Act Ltd (“LEADER”); EZJR, Inc. (“EZJR”);",[],,"['Subject to all other terms and conditions set forth herein, as of the date of this agreement, LEADER maintain the software for an additional five years.']",10/13/21,[],,['This Agreement and any matters arising out of or related to this Agreement will be governed by the laws of the State of Nevada.'],Nevada,[],No,[],No,[],No,[],Contract Act,"The Effective Date and Renewal Term are not provided in the contract details, which may be essential for a complete understanding of the agreement."
